Id;Marker;X;Y;Z
0;0;0.0000000000000000e+00;0.0000000000000000e+00;1.0000000000000000e+00
1;0;8.9400000000000000e-01;0.0000000000000000e+00;4.4700000000000000e-01
2;0;2.7600000000000001e-01;8.5100000000000002e-01;4.4700000000000000e-01
3;0;-7.2400000000000002e-01;5.2600000000000001e-01;4.4700000000000000e-01
4;0;-7.2400000000000002e-01;-5.2600000000000001e-01;4.4700000000000000e-01
5;0;2.7600000000000001e-01;-8.5100000000000002e-01;4.4700000000000000e-01
6;0;7.2400000000000002e-01;5.2600000000000001e-01;-4.4700000000000000e-01
7;0;-2.7600000000000001e-01;8.5100000000000002e-01;-4.4700000000000000e-01
8;0;-8.9400000000000000e-01;0.0000000000000000e+00;-4.4700000000000000e-01
9;0;-2.7600000000000001e-01;-8.5100000000000002e-01;-4.4700000000000000e-01
10;0;7.2400000000000002e-01;-5.2600000000000001e-01;-4.4700000000000000e-01
11;0;0.0000000000000000e+00;0.0000000000000000e+00;-1.0000000000000000e+00

